source,target,value
/internal/modal-frame/views/list-payment-methods-view.js,/internal/modal-frame/views/payment-method-item-view.js,1.0
/internal/modal-frame/views/list-payment-methods-view.js,/templates/modal/list-payment-methods.hbs.js,1.0
/internal/modal-frame/views/add-payment-method-view.js,_,1.0
/internal/modal-frame/views/add-payment-method-view.js,backbone,1.0
/internal/modal-frame/views/add-payment-method-view.js,/internal/modal-frame/views/base-modal-view.js,1.0
/internal/modal-frame/views/add-payment-method-view.js,/shared/models/form-card-model.js,1.0
/internal/modal-frame/views/add-payment-method-view.js,/shared/views/payment-method-form-view.js,1.0
/internal/modal-frame/views/add-payment-method-view.js,braintree-paypal/src/shared/util/browser,1.0
/internal/modal-frame/views/add-payment-method-view.js,/templates/modal/add-payment-method.hbs.js,1.0
/internal/modal-frame/views/base-modal-view.js,_,1.0
/internal/modal-frame/views/base-modal-view.js,q,1.0
/internal/modal-frame/views/base-modal-view.js,/internal/util/dropin-util.js,1.0
/internal/modal-frame/views/base-modal-view.js,backbone,1.0
/internal/modal-frame/views/payment-method-item-view.js,backbone,1.0
/internal/modal-frame/views/payment-method-item-view.js,/internal/util/dropin-util.js,1.0
/internal/modal-frame/views/payment-method-item-view.js,/templates/modal/payment-method-item.hbs.js,1.0
/internal/session/shared-customer-identification-store.js,/internal/session/cookie.js,1.0
/internal/session/shared-customer-identification-store.js,/internal/session/local-storage.js,1.0
/shared/models/payment-method-model.js,backbone,1.0
/shared/models/payment-method-model.js,/internal/form/credit-card-type-identification-service.js,1.0
/shared/views/base-input-view.js,backbone,1.0
/shared/views/base-input-view.js,_,1.0
/shared/views/base-input-view.js,/internal/util/device.js,1.0
/shared/views/credit-card-input-view.js,_,1.0
/shared/views/credit-card-input-view.js,/shared/views/formatter.js/dist/formatter.js,1.0
/shared/views/credit-card-input-view.js,/shared/views/base-input-view.js,1.0
/shared/views/credit-card-input-view.js,/internal/form/validator.js,1.0
/shared/views/credit-card-input-view.js,/internal/form/input.js,1.0
/shared/views/credit-card-input-view.js,/internal/form/credit-card-type-identification-service.js,1.0
/shared/views/expiration-input-view.js,_,1.0
/shared/views/expiration-input-view.js,/shared/views/formatter.js/dist/formatter.js,1.0
/shared/views/expiration-input-view.js,/shared/views/base-input-view.js,1.0
/shared/views/expiration-input-view.js,/internal/form/validator.js,1.0
/shared/views/expiration-input-view.js,/internal/form/input.js,1.0
/shared/views/save-checkbox-view.js,/shared/views/base-input-view.js,1.0
